"Exemplar.Row","Exemplar.Col","Jaccard"
101001,101001,1
101002,101001,0.375
101003,101001,0.1
101004,101001,0.1
101005,101001,0.222
101006,101001,0.1
101007,101001,0.1
101008,101001,0.222
101009,101001,0.375
101010,101001,0.294
101011,101001,0.294
101012,101001,0.158
101013,101001,0.222
101014,101001,0.1
101015,101001,0.294
101016,101001,0.222
101017,101001,0.375
101018,101001,0.158
101019,101001,0.158
101020,101001,0.158
101001,101002,0.375
101002,101002,1
101003,101002,0.1
101004,101002,0.1
101005,101002,0.222
101006,101002,0.222
101007,101002,0.158
101008,101002,0.158
101009,101002,0.294
101010,101002,0.222
101011,101002,0.222
101012,101002,0.048
101013,101002,0.158
101014,101002,0.158
101015,101002,0.158
101016,101002,0.158
101017,101002,0.048
101018,101002,0.158
101019,101002,0.222
101020,101002,0.1
101001,101003,0.1
101002,101003,0.1
101003,101003,1
101004,101003,0.158
101005,101003,0.222
101006,101003,0.158
101007,101003,0.294
101008,101003,0.158
101009,101003,0.1
101010,101003,0.222
101011,101003,0.294
101012,101003,0.375
101013,101003,0.222
101014,101003,0.294
101015,101003,0.375
101016,101003,0.222
101017,101003,0.375
101018,101003,0.158
101019,101003,0.294
101020,101003,0.294
101001,101004,0.1
101002,101004,0.1
101003,101004,0.158
101004,101004,1
101005,101004,0.158
101006,101004,0.222
101007,101004,0.1
101008,101004,0.158
101009,101004,0.1
101010,101004,0.375
101011,101004,0.158
101012,101004,0.222
101013,101004,0.158
101014,101004,0.158
101015,101004,0.222
101016,101004,0.158
101017,101004,0.222
101018,101004,0.158
101019,101004,0.048
101020,101004,0.158
101001,101005,0.222
101002,101005,0.222
101003,101005,0.222
101004,101005,0.158
101005,101005,1
101006,101005,0.222
101007,101005,0.294
101008,101005,0.1
101009,101005,0.294
101010,101005,0.1
101011,101005,0.222
101012,101005,0.222
101013,101005,0.375
101014,101005,0.294
101015,101005,0.294
101016,101005,0.222
101017,101005,0.1
101018,101005,0.294
101019,101005,0.1
101020,101005,0.1
101001,101006,0.1
101002,101006,0.222
101003,101006,0.158
101004,101006,0.222
101005,101006,0.222
101006,101006,1
101007,101006,0.222
101008,101006,0.048
101009,101006,0.048
101010,101006,0.158
101011,101006,0.158
101012,101006,0.158
101013,101006,0.222
101014,101006,0.158
101015,101006,0.294
101016,101006,0.222
101017,101006,0.158
101018,101006,0.158
101019,101006,0.1
101020,101006,0.1
101001,101007,0.1
101002,101007,0.158
101003,101007,0.294
101004,101007,0.1
101005,101007,0.294
101006,101007,0.222
101007,101007,1
101008,101007,0.1
101009,101007,0.158
101010,101007,0.158
101011,101007,0.1
101012,101007,0.375
101013,101007,0.158
101014,101007,0.375
101015,101007,0.294
101016,101007,0.294
101017,101007,0.222
101018,101007,0.1
101019,101007,0.571
101020,101007,0.294
101001,101008,0.222
101002,101008,0.158
101003,101008,0.158
101004,101008,0.158
101005,101008,0.1
101006,101008,0.048
101007,101008,0.1
101008,101008,1
101009,101008,0.467
101010,101008,0.222
101011,101008,0.158
101012,101008,0.1
101013,101008,0.158
101014,101008,0.158
101015,101008,0.048
101016,101008,0.222
101017,101008,0.222
101018,101008,0.158
101019,101008,0.158
101020,101008,0.158
101001,101009,0.375
101002,101009,0.294
101003,101009,0.1
101004,101009,0.1
101005,101009,0.294
101006,101009,0.048
101007,101009,0.158
101008,101009,0.467
101009,101009,1
101010,101009,0.222
101011,101009,0.222
101012,101009,0.158
101013,101009,0.222
101014,101009,0.1
101015,101009,0.158
101016,101009,0.1
101017,101009,0.158
101018,101009,0.294
101019,101009,0.158
101020,101009,0.1
101001,101010,0.294
101002,101010,0.222
101003,101010,0.222
101004,101010,0.375
101005,101010,0.1
101006,101010,0.158
101007,101010,0.158
101008,101010,0.222
101009,101010,0.222
101010,101010,1
101011,101010,0.222
101012,101010,0.158
101013,101010,0.1
101014,101010,0.158
101015,101010,0.294
101016,101010,0.294
101017,101010,0.222
101018,101010,0.048
101019,101010,0.222
101020,101010,0.294
101001,101011,0.294
101002,101011,0.222
101003,101011,0.294
101004,101011,0.158
101005,101011,0.222
101006,101011,0.158
101007,101011,0.1
101008,101011,0.158
101009,101011,0.222
101010,101011,0.222
101011,101011,1
101012,101011,0.1
101013,101011,0.294
101014,101011,0.222
101015,101011,0.158
101016,101011,0.048
101017,101011,0.222
101018,101011,0.222
101019,101011,0.158
101020,101011,0.158
101001,101012,0.158
101002,101012,0.048
101003,101012,0.375
101004,101012,0.222
101005,101012,0.222
101006,101012,0.158
101007,101012,0.375
101008,101012,0.1
101009,101012,0.158
101010,101012,0.158
101011,101012,0.1
101012,101012,1
101013,101012,0.222
101014,101012,0.294
101015,101012,0.375
101016,101012,0.158
101017,101012,0.294
101018,101012,0.048
101019,101012,0.375
101020,101012,0.294
101001,101013,0.222
101002,101013,0.158
101003,101013,0.222
101004,101013,0.158
101005,101013,0.375
101006,101013,0.222
101007,101013,0.158
101008,101013,0.158
101009,101013,0.222
101010,101013,0.1
101011,101013,0.294
101012,101013,0.222
101013,101013,1
101014,101013,0.158
101015,101013,0.222
101016,101013,0.222
101017,101013,0.158
101018,101013,0.294
101019,101013,0.1
101020,101013,0.222
101001,101014,0.1
101002,101014,0.158
101003,101014,0.294
101004,101014,0.158
101005,101014,0.294
101006,101014,0.158
101007,101014,0.375
101008,101014,0.158
101009,101014,0.1
101010,101014,0.158
101011,101014,0.222
101012,101014,0.294
101013,101014,0.158
101014,101014,1
101015,101014,0.158
101016,101014,0.222
101017,101014,0.222
101018,101014,0.158
101019,101014,0.222
101020,101014,0.375
101001,101015,0.294
101002,101015,0.158
101003,101015,0.375
101004,101015,0.222
101005,101015,0.294
101006,101015,0.294
101007,101015,0.294
101008,101015,0.048
101009,101015,0.158
101010,101015,0.294
101011,101015,0.158
101012,101015,0.375
101013,101015,0.222
101014,101015,0.158
101015,101015,1
101016,101015,0.222
101017,101015,0.294
101018,101015,0.158
101019,101015,0.294
101020,101015,0.222
101001,101016,0.222
101002,101016,0.158
101003,101016,0.222
101004,101016,0.158
101005,101016,0.222
101006,101016,0.222
101007,101016,0.294
101008,101016,0.222
101009,101016,0.1
101010,101016,0.294
101011,101016,0.048
101012,101016,0.158
101013,101016,0.222
101014,101016,0.222
101015,101016,0.222
101016,101016,1
101017,101016,0.294
101018,101016,0.1
101019,101016,0.158
101020,101016,0.294
101001,101017,0.375
101002,101017,0.048
101003,101017,0.375
101004,101017,0.222
101005,101017,0.1
101006,101017,0.158
101007,101017,0.222
101008,101017,0.222
101009,101017,0.158
101010,101017,0.222
101011,101017,0.222
101012,101017,0.294
101013,101017,0.158
101014,101017,0.222
101015,101017,0.294
101016,101017,0.294
101017,101017,1
101018,101017,0.158
101019,101017,0.158
101020,101017,0.375
101001,101018,0.158
101002,101018,0.158
101003,101018,0.158
101004,101018,0.158
101005,101018,0.294
101006,101018,0.158
101007,101018,0.1
101008,101018,0.158
101009,101018,0.294
101010,101018,0.048
101011,101018,0.222
101012,101018,0.048
101013,101018,0.294
101014,101018,0.158
101015,101018,0.158
101016,101018,0.1
101017,101018,0.158
101018,101018,1
101019,101018,0
101020,101018,0.1
101001,101019,0.158
101002,101019,0.222
101003,101019,0.294
101004,101019,0.048
101005,101019,0.1
101006,101019,0.1
101007,101019,0.571
101008,101019,0.158
101009,101019,0.158
101010,101019,0.222
101011,101019,0.158
101012,101019,0.375
101013,101019,0.1
101014,101019,0.222
101015,101019,0.294
101016,101019,0.158
101017,101019,0.158
101018,101019,0
101019,101019,1
101020,101019,0.375
101001,101020,0.158
101002,101020,0.1
101003,101020,0.294
101004,101020,0.158
101005,101020,0.1
101006,101020,0.1
101007,101020,0.294
101008,101020,0.158
101009,101020,0.1
101010,101020,0.294
101011,101020,0.158
101012,101020,0.294
101013,101020,0.222
101014,101020,0.375
101015,101020,0.222
101016,101020,0.294
101017,101020,0.375
101018,101020,0.1
101019,101020,0.375
101020,101020,1
